country,min_date,max_date
AFG,1946-12-08,2025-12-18
AGO,1976-12-01,2025-12-18
ALB,1955-12-15,2025-12-18
AND,1993-11-01,2025-12-18
ARE,1971-10-07,2025-12-18
ARG,1946-01-26,2025-12-18
ARM,1992-08-25,2025-12-18
ATG,1981-11-13,2025-12-18
AUS,1946-01-26,2025-12-18
AUT,1955-12-15,2025-12-18
AZE,1992-08-25,2025-12-18
BDI,1962-09-21,2025-12-18
BEL,1946-01-26,2025-12-18
BEN,1960-10-08,2025-12-18
BFA,1960-10-08,2025-12-18
BGD,1974-09-30,2025-12-18
BGR,1955-12-15,2025-12-18
BHR,1971-09-21,2025-12-18
BHS,1973-10-26,2025-12-18
BIH,1992-08-25,2025-12-18
BLR,1946-01-26,2025-12-18
BLZ,1981-09-25,2025-12-18
BOL,1946-01-26,2025-12-18
BRA,1946-01-26,2025-12-18
BRB,1966-12-12,2025-12-18
BRN,1984-09-28,2025-12-18
BTN,1971-09-21,2025-12-18
BWA,1966-10-22,2025-12-18
CAF,1960-10-08,2025-12-18
CAN,1946-01-26,2025-12-18
CHE,2002-10-16,2025-12-18
CHL,1946-01-26,2025-12-18
CHN,1946-01-26,2025-12-18
CIV,1960-10-08,2025-12-18
CMR,1960-10-08,2025-12-18
COD,1960-10-08,2025-12-18
COG,1960-10-08,2025-12-18
COL,1946-01-26,2025-12-18
COM,1975-11-18,2025-12-18
CPV,1975-11-10,2025-12-18
CRI,1946-01-26,2025-12-18
CSK,1946-01-26,1992-12-22
CUB,1946-01-26,2025-12-18
CYP,1960-10-08,2025-12-18
CZE,1993-04-29,2025-12-18
DDR,1973-10-26,1989-12-29
DEU,1990-11-01,2025-12-18
DJI,1977-10-28,2025-12-18
DMA,1978-11-03,2025-12-18
DNK,1946-01-26,2025-12-18
DOM,1946-01-26,2025-12-18
DZA,1962-10-12,2025-12-18
EAT,1961-12-15,1963-12-17
EAZ,1963-12-16,1963-12-17
ECU,1946-01-26,2025-12-18
EGY,1946-01-26,2025-12-18
ERI,1993-11-01,2025-12-18
ESP,1955-12-15,2025-12-18
EST,1991-10-16,2025-12-18
ETH,1946-01-26,2025-12-18
FIN,1955-12-15,2025-12-18
FJI,1970-10-13,2025-12-18
FRA,1946-01-26,2025-12-18
FSM,1991-10-16,2025-12-18
GAB,1960-10-08,2025-12-18
GBR,1946-01-26,2025-12-18
GEO,1992-08-25,2025-12-18
GER,1973-10-26,1989-12-29
GHA,1957-09-14,2025-12-18
GIN,1958-12-13,2025-12-18
GMB,1965-11-05,2025-12-18
GNB,1974-09-30,2025-12-18
GNQ,1968-11-19,2025-12-18
GRC,1946-01-26,2025-12-18
GRD,1974-09-30,2025-12-18
GTM,1946-01-26,2025-12-18
GUY,1966-10-22,2025-12-18
HND,1946-01-26,2025-12-18
HRV,1992-08-25,2025-12-18
HTI,1946-01-26,2025-12-18
HUN,1955-12-15,2025-12-18
IDN,1950-11-03,2025-12-18
IND,1946-01-26,2025-12-18
IRL,1955-12-15,2025-12-18
IRN,1946-01-26,2025-12-18
IRQ,1946-01-26,2025-12-18
ISL,1946-12-08,2025-12-18
ISR,1949-05-13,2025-12-18
ITA,1955-12-15,2025-12-18
JAM,1962-09-21,2025-12-18
JOR,1955-12-15,2025-12-18
JPN,1956-11-21,2025-12-18
KAZ,1992-08-25,2025-12-18
KEN,1963-12-16,2025-12-18
KGZ,1992-08-25,2025-12-18
KHM,1955-12-15,2025-12-18
KIR,1999-11-09,2025-12-18
KNA,1983-10-27,2025-12-18
KOR,1991-10-16,2025-12-18
KWT,1963-06-27,2025-12-18
LAO,1955-12-15,2025-12-18
LBN,1946-01-26,2025-12-18
LBR,1946-01-26,2025-12-18
LBY,1955-12-15,2025-12-18
LCA,1979-09-21,2025-12-18
LIE,1990-11-01,2025-12-18
LKA,1955-12-15,2025-12-18
LSO,1966-10-22,2025-12-18
LTU,1991-10-16,2025-12-18
LUX,1946-01-26,2025-12-18
LVA,1991-10-16,2025-12-18
MAR,1956-11-12,2025-12-18
MCO,1993-11-01,2025-12-18
MDA,1992-08-25,2025-12-18
MDG,1960-10-08,2025-12-18
MDV,1965-11-05,2025-12-18
MEX,1946-01-26,2025-12-18
MHL,1991-10-16,2025-12-18
MKD,1993-04-29,2025-12-18
MLI,1960-10-08,2025-12-18
MLT,1965-11-05,2025-12-18
MMR,1948-05-14,2025-12-18
MNE,2006-06-30,2025-12-18
MNG,1961-10-23,2025-12-18
MOZ,1975-11-10,2025-12-18
MRT,1961-10-27,2025-12-18
MUS,1968-06-12,2025-12-18
MWI,1965-11-05,2025-12-18
MYS,1957-09-24,2025-12-18
NAM,1990-11-01,2025-12-18
NER,1960-10-08,2025-12-18
NGA,1960-10-08,2025-12-18
NIC,1946-01-26,2025-12-18
NLD,1946-01-26,2025-12-18
NOR,1946-01-26,2025-12-18
NPL,1955-12-15,2025-12-18
NRU,1999-11-09,2025-12-18
NZL,1946-01-26,2025-12-18
OMN,1971-10-07,2025-12-18
PAK,1947-10-21,2025-12-18
PAN,1946-01-26,2025-12-18
PER,1946-01-26,2025-12-18
PHL,1946-01-26,2025-12-18
PLW,1994-12-15,2025-12-18
PNG,1975-11-10,2025-12-18
POL,1946-01-26,2025-12-18
PRK,1991-10-16,2025-12-18
PRT,1955-12-15,2025-12-18
PRY,1946-01-26,2025-12-18
QAT,1971-10-07,2025-12-18
ROU,1955-12-15,2025-12-18
RUS,1992-08-25,2025-12-18
RWA,1962-09-21,2025-12-18
SAU,1946-01-26,2025-12-18
SCG,2003-06-18,2006-05-08
SDN,1956-11-12,2025-12-18
SEN,1960-10-08,2025-12-18
SGP,1965-11-05,2025-12-18
SLB,1978-11-03,2025-12-18
SLE,1961-10-23,2025-12-18
SLV,1946-01-26,2025-12-18
SMR,1992-08-25,2025-12-18
SOM,1960-10-08,2025-12-18
SRB,2006-06-30,2025-12-18
SSD,2011-09-16,2025-12-18
STP,1975-11-10,2025-12-18
SUN,1946-01-26,1991-12-20
SUR,1975-12-05,2025-12-18
SVK,1993-04-29,2025-12-18
SVN,1992-08-25,2025-12-18
SWE,1946-12-08,2025-12-18
SWZ,1968-11-07,2025-12-18
SYC,1976-10-21,2025-12-18
SYR,1946-01-26,2025-12-18
TCD,1960-10-08,2025-12-18
TGO,1960-10-08,2025-12-18
THA,1947-05-05,2025-12-18
TJK,1992-08-25,2025-12-18
TKM,1992-08-25,2025-12-18
TLS,2002-10-16,2025-12-18
