resolution,legacy_undl_id,Geopolitical,Thematic,Action
A/RES/38/3,278340,Kampuchea,,
A/RES/38/7,278341,Grenada,,
A/RES/38/9,278342,Israel;Iraq,Nuclear installations;Nuclear energy;Non-proliferation of nuclear weapons;International peace and security,Aggression
A/RES/38/11,278343,South Africa,Racial Constitution,Proposal
A/RES/38/12,278344,Falkland Islands;Malvinas,,
A/RES/38/13,278639,Comorian island of Mayotte,,
A/RES/38/17,278640,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
A/RES/38/19,278641,,International Convention on the Suppression and Punishment of the Crime of Apartheid,Suppression; Punishment
A/RES/38/25,278642,,Social change;Economic change;Social progress,Achievement
A/RES/38/29,278643,Afghanistan,International peace;International security,
A/RES/38/34,278644,countries of origin,cultural property,return; restitution
A/RES/38/35A,278645,,United Nations Disengagement Observer Force,Financing
A/RES/38/35B,278646,United Nations Disengagement Observer Force,Financing,
A/RES/38/36A,278647,Namibia;South Africa,Illegal occupation;Territory,
A/RES/38/36B,278648,,Security Council resolution 435,Implementation
A/RES/38/36C,278649,Namibia,Programme of work,
A/RES/38/36D,278651,Namibia,Dissemination of information; Mobilization of international public opinion,Support
A/RES/38/36E,278652,Namibia,,Fund
A/RES/38/38,278653,Lebanon,United Nations Interim Force,Financing
A/RES/38/39A,278654,South Africa,,Resolution
A/RES/38/39B,278655,,Apartheid,Programme of Action
A/RES/38/39C,278656,southern Africa,apartheid,effects
A/RES/38/39D,278657,South Africa,Sanctions,
A/RES/38/39E,278658,,Apartheid,Programme of work
A/RES/38/39F,278659,Israel;South Africa,Relations,
A/RES/38/39G,278660,South Africa,Military collaboration;nuclear collaboration,
A/RES/38/39I,278661,South Africa,Investments,
A/RES/38/39J,278662,South Africa,Oil embargo,Embargo
A/RES/38/39K,278663,,Apartheid; Sports,
A/RES/38/49,278664,Non-Self-Governing Territories,Information,Transmission
A/RES/38/50,278665,Namibia;southern Africa,Declaration on the Granting of Independence to Colonial Countries and Peoples;colonial domination;colonialism;apartheid;racial discrimination,implementation;elimination;efforts
A/RES/38/51,278666,Colonial Countries;Colonial Peoples,Declaration;Independence,Implementation
A/RES/38/54,278667,Colonial Countries; Peoples,Declaration; Independence,Implementation; Granting
A/RES/38/55,278668,,Decolonization,Dissemination of information
A/RES/38/58A,278669,Palestine,,
A/RES/38/58B,278670,Palestine,,
A/RES/38/58C,278671,Palestine,,
A/RES/38/58D,278672,Palestine,,
A/RES/38/58E,278673,Palestine,,
A/RES/38/59A,278674,,Law of the Sea,Conference
A/RES/38/61,278675,Latin America,Prohibition of Nuclear Weapons; Additional Protocol I; Treaty of Tlatelolco,Implementation; Signature; Ratification
A/RES/38/62,278676,,Nuclear Weapons;Test Explosions,Cessation
A/RES/38/63,278677,,Nuclear Test-Ban Treaty,Need
A/RES/38/65,278678,South Asia,Nuclear-weapon-free zone,Establishment
A/RES/38/67,278679,non-nuclear-weapon States,security;nuclear weapons,strengthening
A/RES/38/68,278680,non-nuclear-weapon States,nuclear weapons,assurance
A/RES/38/69,278681,Israel,Nuclear Armament,
A/RES/38/70,278682,,Arms Race; Outer Space,Prevention
A/RES/38/71A,278684,,Disarmament;Development,Relationship
A/RES/38/72,278686,,Nuclear-weapon tests,Cessation; Prohibition
A/RES/38/73B,278687,,Nuclear Weapons,Freeze
A/RES/38/73E,278688,,Nuclear-arms,Freeze
