M49_code,ms_code,status,ms_name,start_date,end_date,note,search_key
004,AFG,ms,Afghanistan,1946-09-11,,"Per UNTERM, formal name (or long form) ""Islamic Republic of Afghanistan"" adopted Nov. 2004; preceding that, formal name had been ""Transitional Islamic State of Afghanistan""",Afghanistan
008,ALB,ms,Albania,1955-12-14,,,Albania
012,DZA,ms,Algeria,1962-08-10,,,Algeria
020,AND,ms,Andorra,1993-07-28,,,Andorra
024,AGO,ms,Angola,1976-12-01,,,Angola
028,ATG,ms,Antigua and Barbuda,1981-11-11,,,Antigua and Barbuda
032,ARG,ms,Argentina,1945-10-24,,,Argentina
051,ARM,ms,Armenia,1992-03-02,,,Armenia
036,AUS,ms,Australia,1945-10-24,,,Australia
040,AUT,ms,Austria,1955-12-14,,,Austria
031,AZE,ms,Azerbaijan,1992-03-02,,,Azerbaijan
044,BHS,ms,Bahamas,1973-09-18,,,Bahamas
048,BHR,ms,Bahrain,1971-09-21,,,Bahrain
050,BGD,ms,Bangladesh,1974-09-17,,,Bangladesh
052,BRB,ms,Barbados,1966-09-12,,,Barbados
112,BLR,fs,Byelorussian SSR,1945-10-24,1991-09-18,Name changed from 'Byelorussian SSR' to 'Belarus' effective 19 Sept. 1991,Belarus
112,BLR,ms,Belarus,1991-09-19,,,Belarus
056,BEL,ms,Belgium,1945-10-24,,,Belgium
084,BLZ,ms,Belize,1981-09-25,,,Belize
204,BEN,fs,Dahomey,1960-09-20,1975-12-01,Name changed to Benin on 2 Dec. 1975,Benin
204,BEN,ms,Benin,1975-12-02,,,Benin
064,BTN,ms,Bhutan,1971-09-21,,,Bhutan
068,BOL,fs,Bolivia,1945-10-24,2009-04-06,Formal name changed from 'Bolivia' to 'Plurinational State of Bolivia' in accordance with 2009 constitutional decree on 7 Apr. 2009,Bolivia (Plurinational State of)
068,BOL,ms,Bolivia (Plurinational State of),2009-04-07,,Permanent Mission specified that short form of name is Bolivia (Plurinational State of),Bolivia (Plurinational State of)
070,BIH,ms,Bosnia and Herzegovina,1992-05-22,,,Bosnia and Herzegovina
072,BWA,ms,Botswana,1966-10-17,,,Botswana
076,BRA,ms,Brazil,1945-10-24,,,Brazil
096,BRN,ms,Brunei Darussalam,1984-09-21,,,Brunei Darussalam
100,BGR,ms,Bulgaria,1955-12-14,,,Bulgaria
854,HVO,fs,Upper Volta,1960-09-20,1984-08-03,Name changed to 'Burkina Faso' on 4 Aug. 1984,Burkina Faso
854,BFA,ms,Burkina Faso,1984-08-04,,,Burkina Faso
108,BDI,ms,Burundi,1962-09-18,,,Burundi
132,CPV,fs,Cape Verde,1975-09-16,2013-10-23,Name changed to 'Cabo Verde' on 24 Oct. 2013,Cabo Verde
132,CPV,ms,Cabo Verde,2013-10-24,,,Cabo Verde
116,KHM,ms,Cambodia,1955-12-14,1970-12-28,"Name reverted to Cambodia on 3 Feb. 1990, formerly, as follows: as from 6 Apr. 1976 to 3 Feb. 1990 'Democratic Kampuchea'; as from 30 Apr. 1975 to 6 Apr. 1976 'Cambodia'; as from 28 Dec. 1970 to 30 Apr. 1975 'Khmer Republic'",Cambodia
116,KHM,fs,Khmer Republic,1970-12-29,1975-04-29,,Cambodia
116,KHM,ms,Cambodia,1975-04-30,1976-04-06,"Name reverted to Cambodia on 3 Feb. 1990, formerly, as follows: as from 6 Apr. 1976 to 3 Feb. 1990 'Democratic Kampuchea'; as from 30 Apr. 1975 to 6 Apr. 1976 'Cambodia'; as from 28 Dec. 1970 to 30 Apr. 1975 'Khmer Republic'",Cambodia
116,KHM,fs,Democratic Kampuchea,1976-04-06,1990-02-02,Name reverted to Cambodia as of 3 Feb. 1990,Cambodia
116,KHM,ms,Cambodia,1990-02-03,,"Name reverted to Cambodia on 3 Feb. 1990, formerly, as follows: as from 6 Apr. 1976 to 3 Feb. 1990 'Democratic Kampuchea'; as from 30 Apr. 1975 to 6 Apr. 1976 'Cambodia'; as from 28 Dec. 1970 to 30 Apr. 1975 'Khmer Republic'",Cambodia
120,CMR,ms,Cameroon,1960-09-20,1975-03-09,,Cameroon
120,CMR,fs,United Republic of Cameroon,1975-03-10,1975-02-03,,Cameroon
120,CMR,ms,Cameroon,1984-02-04,,,Cameroon
124,CAN,ms,Canada,1945-10-24,,,Canada
140,CAF,ms,Central African Republic,1960-09-20,1976-12-19,,Central African Republic
140,CAF,fs,Central African Empire,1976-12-20,1979-09-19,The 'Central African Republic' was constituted into the 'Central African Empire' from 20 Dec. 1976 to 20 Sept. 1979,Central African Republic
140,CAF,ms,Central African Republic,1979-09-20,,,Central African Republic
148,TCD,ms,Chad,1960-09-20,,,Chad
152,CHL,ms,Chile,1945-10-24,,,Chile
156,CHN,ms,China,1945-10-24,,,China
170,COL,ms,Colombia,1945-10-24,,,Colombia
174,COM,ms,Comoros,1975-12-11,,,Comoros
178,COG,fs,Republic of the Congo (Brazzaville),1960-09-20,1969-12-31,,Congo
178,COG,fs,People's Republic of the Congo,1970-01-01,1971-11-14,"In a communication dated 15 Nov. 1971, the Permanent Mission of the People's Republic of the Congo informed the Secretary-General that their country would henceforth be known as the 'Congo'",Congo
178,COG,ms,Congo,1971-11-15,,,Congo
188,CRI,ms,Costa Rica,1945-10-24,,,Costa Rica
384,CIV,fs,Ivory Coast,1960-09-20,1985-12-31,,Côte d'Ivoire
384,CIV,ms,Côte d'Ivoire,1986-01-01,,,Côte d'Ivoire
191,HRV,ms,Croatia,1992-05-22,,,Croatia
192,CUB,ms,Cuba,1945-10-24,,,Cuba
196,CYP,ms,Cyprus,1960-09-20,,,Cyprus
203,CZE,fs,Czech Republic,1993-01-01,2016-05-16,,Czechia
203,CZE,ms,Czechia,2016-05-17,,"Short name changed to 'Czechia' on 17 May 2016, formal name remains 'Czech Republic'",Czechia
200,CSK,fs,Czechoslovakia,1945-10-24,1992-12-31,,Czechoslovakia
408,PRK,ms,Democratic People's Republic of Korea,1991-09-17,,,Democratic People's Republic of Korea
180,COD,fs,Republic of the Congo (Leopoldville),1960-06-30,1964-07-30,Name changed from 'Republic of the Congo (Leopoldville)' to 'Democratic Republic of the Congo' on 1 Aug. 1964 (Luluabourg Constitution). Name changed to 'Zaire' on 27 Oct. 1971 and changed back to 'Democratic Republic of the Congo' on 17 May 1997.,Democratic Republic of the Congo
180,COD,ms,Democratic Republic of the Congo,1964-08-01,1971-10-26,,Democratic Republic of the Congo
