undl_id,keywords
278340,"Kampuchea, resolution"
278341,"Grenada, resolution, situation"
278342,"General Assembly, Iraqi nuclear installations, Israeli aggression, international peace and security, non-proliferation, nuclear energy, nuclear weapon, resolution, security"
278343,"Africa, South Africa, racial constitution, resolution"
278344,"Falkland Island (Malvinas), resolution"
278639,"Mayotte, comorian sland, resolution"
278640,"General Assembly, colonial countries, human rights, independence, resolution, self-determination"
278641,International Convention on the Suppression and Punishment of Crime of Apartheid
278642,"General Assembly, National experience, social and economic changes"
278643,"Afghanistan, international peace and security"
278644,"countries of origin, cultural property, resolution"
278645,"United Nations Disengagement Obever Force, financing, resolution"
278646,"United Nations Disengagement Obever Force, financing, resolution"
278647,"Africa, Namibia, illegal occupation of the Territory by South Africa"
278648,"Security Council, Security Council resolution 435 (1978)"
278649,"UN Council for Namibia, programme of work, resolution"
278651,"Namibia, information, public opinion, resolution"
278652,"UN Fund for Namibia, resolution"
278653,"Lebanon, United Nations Interim Force"
278654,"Africa, South Africa, resolution"
278655,"Apartheid, General Assembly"
278656,"Africa, apartheid, southern Africa"
278657,"South Africa, resolution"
278658,"Apartheid, General Assembly, Special Committee"
278659,"Israel, Relations between Israel and South Africa, South Africa"
278660,"South Africa, nuclear collaboration"
278661,"South Africa, investment, resolution"
278662,"South Africa, oil embargo"
278663,"apartheid in sport, resolution"
278664,"Charter of the United Nations, Non-Self-Governing Territories"
278665,"Africa, Colonial Countries, Colonial Countries and Peoples, Declaration on the Granting of Independence to Colonials and other interests, General Assembly, Namibia, apartheid, colonialism, foreign economic interests, racial discrimination, resolution, southern Africa"
278666,"Colonial Countries and Peoples, Declaration on the granting of Independence to Colonialization, General Assembly, United Nations, agents, resolution, specialized agencies and the international nstitutions associated with UN"
278667,"Colonial Countries and People, Declaration on the granting of Independence to Colonials and People"
278668,"decolonization, resolution"
278669,"Palestine, resolution"
278670,"Palestine, resolution"
278671,"Palestine, resolution"
278672,"Palestine, resolution"
278673,"Palestine, resolution"
278674,"United Nations Conference on the Law of the Sea, law of the sea, resolution"
278675,"Additional Protocol I of the Treaty for the Prohibition of Nuclear Weapon, Additional Protocol I of the Treaty for the Prohibition of Nuclear Weapon in Latin America (Treaty of Tlatelolco), General Assembly, Latin America, Tlatelolco"
278676,"nuclear weapon, test explosions"
278677,"comprehension, nuclear test-ban treaty, urgent need"
278678,"South Asia, nuclear-weapon-free zone"
278679,"General Assembly, non-nuclear-weapon, non-nuclear-weapon States, nuclear weapon use, resolution, threat of use"
278680,"assure, nuclear weapon, nuclear weapons, resolution"
278681,"Israeli nuclear armament, resolution"
278682,"arms race, outer space, resolution"
278684,"development, disarmament, resolution"
278686,"cessation, nuclear weapon test"
278687,"freeze, nuclear weapon, resolution"
278688,"General Assembly, Nuclear-arms freeze"
278689,"World Disarmament Campaign, World War II, disarmament, resolution"
278690,"convention on the prohibition of the use of Nuclear Weapon, resolution"
278691,"Disarmament, International security"
278692,"General Assembly, Non protection of nutclear weapon, Non protection of the non-proliferated weapon, Non-Proliferation of Nuclear Weapon, resolution, the Third Review Conference of the Parties to the Treaty"
278693,"condemnation, nuclear war, resolution"
278694,Nuclear-weapon freeze
278695,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Population, Special Committee to Investigate Israeli practices"
278696,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Population, Special Committee to Investigate Israeli practices"
278697,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Population, Special Committee to Investigate Israeli practices"
278698,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Population, Special Committee to Investigate Israeli practices"
278699,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Population, Special Committee to Investigate Israeli practices"
278700,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Population, Special Committee to Investigate Israeli practices"
278701,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Population, Special Committee to Investigate Israeli practices"
278702,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Population, Special Committee to Investigate Israeli practices"
278703,"co-operation, outer space, resolution"
278704,"General Assembly, peace-keeping operations, resolution"
278705,"General Assembly, information, resolution"
278706,"Palestine refugees, resolution"
278707,"Palestine Refugees, grants and scholarships for higher education, vocational training"
278708,"Gaza Strip, Palestine refugees"
278709,"Palestine refugees, resolution"
278710,"General Assembly, refugees, resolution"
278711,"Palestine refugees, resolution"
278712,"Palestine refugees, resolution"
278713,"Palestine refugees, West Bank resolution"
278714,"Al-Quds, Jerusalem, Palestine refugees, resolution"
278715,"Dead Sea, Mediterranean Sea"
278716,"Guatemala, fundamental freedoms, resolution"
278717,"El Salvador, fundamental freedoms, resolution"
278718,"Chile, fundamental freedoms, human rights, resolution"
278719,"General Assembly, prostitution, resolution"
278720,"United Nations Decade for Women, World Conference to Review and Appraise the Achievement of Women"
278721,"General Assembly, Human rights, scientific and technological development"
278722,"General Assembly, scientific and technological development"
278723,"General Assembly, United Nations, fundamental freedoms, human rights, resolution"
278724,"international economic order, international law, resolution"
278725,"Mankind, draft code of offence, resolution"
278726,"International Relations, Non-Use of Force, Special Committee on Enhancing the Effectiveness of the Principle of Non-Use of Force"
278727,"Arab territories, Palestinian national resources, resolution"
278728,"Palestinian people, resolution"
278729,"Africa, Transport and Communication Decade"
278730,"General Assembly, reverse transfer technology"
278731,"general Assembly, resolution, war"
278732,"Palestinian people, living condition"
278733,United Nations Special Fund for Land-locked Developing Countries
278734,"United Nations Institute for Training and Research, resolution"
278735,"Middle East, Middle East resolution"
278736,"Middle East, Middle East resolution"
278737,"Middle East, Middle East resolution"
278738,"Middle East, Middle East resolution"
278739,"Middle East, Middle East resolution"
278741,"Africa, Declaration on the Denuclearization of Africa"
278742,"Nuclear capability, South Africa"
278743,"development, mass destruction, resolution"
278744,Bilateral nuclear-arms negotiations
278746,"nuclear weapon, resolution"
278747,nuclear neutron weapon
278748,"General Assembly, Nuclear weapon, resolution"
278749,International co-operation for disarmament resolution
278750,"nuclear war, resolution"
278751,"General Assembly, recommendations, resolution"
278752,"Committee on Disarmament Resolution, General Assembly"
278753,"disarmament measures, resolution"
278754,"Disarmament Week, General Assembly"
278755,"General Assembly, recommendations, resolution"
278757,Bilateral nuclear-arms negotiations
278758,Bilateral nuclear-arms negotiations
278759,"military budget, resolution"
278760,"bacteriological weapons, resolution"
