Original_ID,Geopolitical,Thematic,Action
278340,Kampuchea,,
278341,Grenada,,
278342,Israel;Iraq,Nuclear installations;Nuclear energy;Non-proliferation of nuclear weapons;International peace and security,Aggression
278343,South Africa,Racial Constitution,Proposal
278344,Falkland Islands;Malvinas,,
278639,Comorian island of Mayotte,,
278640,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
278641,,International Convention on the Suppression and Punishment of the Crime of Apartheid,Suppression; Punishment
278642,,Social change;Economic change;Social progress,Achievement
278643,Afghanistan,International peace;International security,
278644,countries of origin,cultural property,return; restitution
278645,,United Nations Disengagement Observer Force,Financing
278646,United Nations Disengagement Observer Force,Financing,
278647,Namibia;South Africa,Illegal occupation;Territory,
278648,,Security Council resolution 435,Implementation
278649,Namibia,Programme of work,
278651,Namibia,Dissemination of information; Mobilization of international public opinion,Support
278652,Namibia,,Fund
278653,Lebanon,United Nations Interim Force,Financing
278654,South Africa,,Resolution
278655,,Apartheid,Programme of Action
278656,southern Africa,apartheid,effects
278657,South Africa,Sanctions,
278658,,Apartheid,Programme of work
278659,Israel;South Africa,Relations,
278660,South Africa,Military collaboration;nuclear collaboration,
278661,South Africa,Investments,
278662,South Africa,Oil embargo,Embargo
278663,,Apartheid; Sports,
278664,Non-Self-Governing Territories,Information,Transmission
278665,Namibia;southern Africa,Declaration on the Granting of Independence to Colonial Countries and Peoples;colonial domination;colonialism;apartheid;racial discrimination,implementation;elimination;efforts
278666,Colonial Countries;Colonial Peoples,Declaration;Independence,Implementation
278667,Colonial Countries; Peoples,Declaration; Independence,Implementation; Granting
278668,,Decolonization,Dissemination of information
278669,Palestine,,
278670,Palestine,,
278671,Palestine,,
278672,Palestine,,
278673,Palestine,,
278674,,Law of the Sea,Conference
278675,Latin America,Prohibition of Nuclear Weapons; Additional Protocol I; Treaty of Tlatelolco,Implementation; Signature; Ratification
278676,,Nuclear Weapons;Test Explosions,Cessation
278677,,Nuclear Test-Ban Treaty,Need
278678,South Asia,Nuclear-weapon-free zone,Establishment
278679,non-nuclear-weapon States,security;nuclear weapons,strengthening
278680,non-nuclear-weapon States,nuclear weapons,assurance
278681,Israel,Nuclear Armament,
278682,,Arms Race; Outer Space,Prevention
278684,,Disarmament;Development,Relationship
278686,,Nuclear-weapon tests,Cessation; Prohibition
278687,,Nuclear Weapons,Freeze
278688,,Nuclear-arms,Freeze
278689,,World Disarmament,Action; Activities; Campaign
278690,,Nuclear Weapons,Prohibition
278691,,Disarmament;International Security,
278692,,Treaty on the Non-Proliferation of Nuclear Weapons,Implementation; Establishment
278693,,Nuclear War,Condemnation
278694,,Nuclear-weapon,Freeze
278695,Israel;Occupied Territories,Human Rights,Investigation
278696,Israel;Occupied Territories,Human Rights,Investigation
278697,Israel;Occupied Territories,Human Rights,Investigation
278698,Israel;Occupied Territories,Human Rights,Investigation
278699,Israel;Occupied Territories,Human Rights,Investigation
278700,Israel;Occupied Territories,Human Rights,Investigation
278701,Israel;Occupied Territories,Human Rights,Investigation
278702,Israel;Occupied Territories,Human Rights,Investigation
278703,,Outer Space,International Co-operation
278704,,Peace-keeping operations,Review
278705,,Information,
278706,Palestine,Refugees,Assistance
278707,Palestine Refugees,Higher Education;Vocational Training,Offers;Grants;Scholarships
278708,Palestine; Gaza Strip,Refugees,
278709,Palestine,Refugees,Resumption; Distribution
278710,,Population;Refugees;Displacement,
278711,Palestine,Refugees;Properties;Revenues,
278712,Palestine,Protection;Refugees,
278713,Palestine; West Bank,Refugees,
278714,Palestine,Palestine refugees,
278715,Israel; Mediterranean Sea; Dead Sea,Canal,Decision; Building
278716,Guatemala,Human Rights;Fundamental Freedoms,
278717,El Salvador,Human Rights;Fundamental Freedoms,
278718,Chile,Human Rights;Fundamental Freedoms,
278719,,Prostitution,Prevention
278720,,United Nations Decade for Women,Preparation; Review; Appraisal
278721,,Human rights;Scientific and technological developments,Adoption
278722,,Human rights;Scientific and technological developments,Use
278723,,United Nations system;Human rights;Fundamental freedoms,Improvement
278724,,Principles and norms of international law; International economic order,Progressive development
278725,,Peace and Security of Mankind,Draft Code of Offences
278726,,Principle of Non-Use of Force; International Relations,Enhancement; Effectiveness
278727,Palestinian territories; Arab territories,Permanent sovereignty; National resources,
278728,Palestinian people,Assistance,
278729,Africa,Transport;Communications,Decade
278730,,Reverse Transfer Technology;Development Aspects,
278731,,Remnants of war,
278732,Palestinian people;Palestinian territories,Living conditions,
278733,Land-locked Developing Countries,Special Fund,
278734,,Training;Research,
278735,Middle East,,
278736,Middle East,,
278737,Middle East,,
278738,Middle East,,
278739,Middle East,,
