,Subject
0,INTERNATIONAL DECADES (1991-2000)
1,CODE OF CRIMES (DRAFT)
2,UN HIGH COMMISSIONER FOR REFUGEES
3,BUDGET (2006-2007)
4,CONVENTIONAL ARMS
5,INTERNATIONAL YEARS (1986)
6,LIBYAN ARAB JAMAHIRIYA
7,PEACE AND SECURITY
8,MULTILATERAL TREATIES
9,UN. GENERAL ASSEMBLY (15TH SPECIAL SESS. : 1988)
10,INTERNATIONAL CRIMINAL COURT
11,TREATIES (PROPOSED)
12,NUCLEAR-WEAPON-FREE ZONE
13,UN COMMISSION ON INTERNATIONAL TRADE LAW
14,BUDGET (2008-2009)
15,SOUTHERN HEMISPHERE
16,UN. GENERAL ASSEMBLY (66TH SESS. : 2011-2012). CREDENTIALS COMMITTEE
17,BUDGET (2010-2011)
18,NATURE
19,UN. OFFICE OF THE HIGH COMMISSIONER FOR HUMAN RIGHTS
20,INTERNATIONAL ECONOMIC COOPERATION
21,FINANCIAL SITUATION
22,REPORTS
23,UN. INTERNATIONAL COURT OF JUSTICE JUDGEMENT
24,DECLARATION (1970)
25,STRADDLING FISH STOCKS
26,UN. HUMAN RIGHTS COUNCIL
27,REDUCTION
28,TREATIES (DRAFT)
29,FORMER YUGOSLAVIA
30,KOSOVO
31,UN. GENERAL ASSEMBLY (11TH SESS. : 1956-1957)
32,INTERNATIONAL DAYS (21 NOV.)
33,UN. SECRETARIAT
34,"GENERAL ASSEMBLY (10TH SPEC. SESS., 1978)"
35,NUCLEAR PROLIFERATION
36,IMPLEMENTATION
37,ELIMINATION
38,BUDGET (1984-1985)
39,SECURITY
40,INTER-PARLIAMENTARY UNION
41,NEW INTERNATIONAL ECONOMIC ORDER
42,PROTECTION
43,STRENGTHENING
44,UN. ECONOMIC AND SOCIAL COUNCIL
45,POLICY OF STATE TERRORISM
46,CHARTER
47,AUTONOMOUS WEAPONS
48,UN. GENERAL ASSEMBLY (43RD SESS. : 1988-1989)
49,UN CONFERENCES
50,PROHIBITION
51,CHAGOS ARCHIPELAGO
52,UN CHARTER
53,BUDGET (2021)
54,TRANSPARENCY
55,FINANCIAL REPORTS
56,INTERNATIONAL ARRANGEMENTS
57,CONVENTION (1982)
58,COMPREHENSIVE SYSTEM
59,UN. INTERNATIONAL COURT OF JUSTICE OPINION
60,UN. GENERAL ASSEMBLY (47TH SESS. : 1992-1993)
61,OCCUPIED TERRITORIES
62,MILLENNIUM SUMMIT
63,UN. INTERNATIONAL LAW COMMISSION
64,RECOMMENDATIONS OF GENERAL ASSEMBLY (10TH SPEC. SESS.)
65,UNIFIL
66,2ND WORLD ASSEMBLY (2002)
67,RIGHT OF PEOPLES TO PEACE
68,AGENDA 21
69,ORGANIZATION FOR SECURITY AND COOPERATION IN EUROPE
70,ASSOCIATION OF SOUTHEAST ASIAN NATIONS
71,ORGANISATION FOR THE PROHIBITION OF CHEMICAL WEAPONS
72,"GENERAL ASSEMBLY (12TH SPEC. SESS., 1982)"
73,RECOMMENDATIONS OF GENERAL ASSEMBLY (12TH SPEC. SESS.)
74,SHANGHAI COOPERATION ORGANIZATION
75,CODES OF CRIMES
76,KAMPUCHEA SITUATION
77,ECONOMIC COOPERATION ORGANIZATION
78,COUNCIL OF EUROPE
79,HUMANITARIAN CONSEQUENCES
80,CESSATION
81,UN ORGANIZATIONS
82,IAEA
83,DECLARATIONS (1960)
84,HUMANITARIAN PLEDGE
85,ECONOMIC SANCTIONS
86,UCLEAR-WEAPON-FREE ZONE
87,BUDGET (2023)
88,REVIEW
89,ORGANISATION OF ISLAMIC COOPERATION
90,REVIEW CONFERENCE OF THE PARTIES TO THE TREATY ON THE NON-PROLIFERATION OF NUCLEAR WEAPONS (3RD : 1985 : GENEVA)
91,CODES OF OFFENCES (DRAFT)
92,UN. COMMITTEE ON RELATIONS WITH THE HOST COUNTRY
93,UNRWA
94,CODES OF CRIMES (DRAFT)
95,PEACEFUL USES
96,INTERNATIONAL AGREEMENTS
97,UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)
98,GENERAL AND COMPLETE
99,CODE OF OFFENCES (DRAFT)
100,DRAFTING PROCESS
101,UN RESOLUTIONS
102,LEAGUE OF ARAB STATES
103,UN SYSTEM
104,CENTRAL EUROPEAN INITIATIVE
105,CONVENTION (DRAFT)
106,PERSONNEL QUESTIONS
107,COLLECTIVE SECURITY
108,COLLECTIVE SECURITY TREATY ORGANIZATION
109,BUDGET (2025)
110,RESOLUTIONS
111,TREATIES (1966)
112,NUCLEAR DISARMAMENT NEGOTIATIONS
113,COVENANTS (1966)
114,UNITAR
115,BUDGET (2022)
116,PREPARATORY COMMISSION FOR THE COMPREHENSIVE NUCLEAR-TEST-BAN TREATY ORGANIZATION
117,DECL. (1960)
118,BUDGET (1986-1987)
119,UN
120,NUCLEAR WEAPON FREEZE
121,ARMED CONFLICTS PREVENTION
122,PACIFIC ISLANDS FORUM
123,UN DISENGAGEMENT OBSERVER FORCE
124,UN. GENERAL ASSEMBLY (15TH SESS. : 1960-1961)
125,AMENDMENTS
126,MEDITERRANEAN-DEAD SEA CANAL PROJECT
127,PLAN OF ACTION
128,UN. GENERAL ASSEMBLY (4TH SPECIAL SESS. ON DISARMAMENT : xxxx)
129,LEGACY
130,INTERNATIONAL ORGANIZATION OF LA FRANCOPHONIE
131,AFRICAN UNION
132,ECONOMIC INTERESTS
133,CONDEMNATION
134,NUCLEAR TEST BANS
135,PREPARATIONS
136,ASSISTANCE
137,DECLARATIONS (1970)
138,UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)
139,BUDGET (1982-1983)
140,OAU
141,WEAPONS
142,AZERBAIJAN SITUATION
143,UN. CONFERENCE ON DISARMAMENT
144,BUDGET (1988-1989)
145,SOUTHWEST ASIA AND ARAB COUNTRIES
146,SOUTH-EAST ASIA
147,CLONING OF HUMAN BEINGS
148,ANNIVERSARIES (40TH)
149,ADVANCEMENT
150,CONFERENCES (1986)
151,CENTRAL ASIAN
152,HUMAN RESOURCES MANAGEMENT
153,UN. SECURITY COUNCIL
154,ORGANIZATION FOR DEMOCRACY AND ECONOMIC DEVELOPMENT - GUAM
155,2030 AGENDA
156,BUDGET (2024)
157,INTERNATIONAL TRIBUNAL
158,UN INTERIM FORCE IN LEBANON
