,undl_id,undl_link,resolution,subject_list,matching_subjects,non_matching_subjects,match_type
0,278340,https://digitallibrary.un.org/record/278340,A/RES/38/3,['KAMPUCHEA SITUATION'],[],['KAMPUCHEA SITUATION'],no_match
1,278341,https://digitallibrary.un.org/record/278341,A/RES/38/7,['GRENADA SITUATION'],['GRENADA SITUATION'],[],all_match
2,278342,https://digitallibrary.un.org/record/278342,A/RES/38/9,"['IRAQ', 'ISRAEL']","['IRAQ', 'ISRAEL']",[],all_match
3,278343,https://digitallibrary.un.org/record/278343,A/RES/38/11,['APARTHEID'],['APARTHEID'],[],all_match
4,278344,https://digitallibrary.un.org/record/278344,A/RES/38/12,['FALKLAND ISLANDS (MALVINAS)'],['FALKLAND ISLANDS (MALVINAS)'],[],all_match
5,278639,https://digitallibrary.un.org/record/278639,A/RES/38/13,['COMORIAN ISLAND OF MAYOTTE'],['COMORIAN ISLAND OF MAYOTTE'],[],all_match
6,278640,https://digitallibrary.un.org/record/278640,A/RES/38/17,['SELF-DETERMINATION OF PEOPLES'],['SELF-DETERMINATION OF PEOPLES'],[],all_match
7,278641,https://digitallibrary.un.org/record/278641,A/RES/38/19,,[],[],no_subjects
8,278642,https://digitallibrary.un.org/record/278642,A/RES/38/25,['SOCIAL CONDITIONS'],['SOCIAL CONDITIONS'],[],all_match
9,278643,https://digitallibrary.un.org/record/278643,A/RES/38/29,['AFGHANISTAN SITUATION'],['AFGHANISTAN SITUATION'],[],all_match
10,278644,https://digitallibrary.un.org/record/278644,A/RES/38/34,"['CULTURAL PROPERTY', 'RESTITUTION']","['CULTURAL PROPERTY', 'RESTITUTION']",[],all_match
11,278645,https://digitallibrary.un.org/record/278645,A/RES/38/35A,,[],[],no_subjects
12,278646,https://digitallibrary.un.org/record/278646,A/RES/38/35B,,[],[],no_subjects
13,278647,https://digitallibrary.un.org/record/278647,A/RES/38/36A,['NAMIBIA QUESTION'],['NAMIBIA QUESTION'],[],all_match
14,278648,https://digitallibrary.un.org/record/278648,A/RES/38/36B,['NAMIBIA QUESTION'],['NAMIBIA QUESTION'],[],all_match
15,278649,https://digitallibrary.un.org/record/278649,A/RES/38/36C,['NAMIBIA QUESTION'],['NAMIBIA QUESTION'],[],all_match
16,278651,https://digitallibrary.un.org/record/278651,A/RES/38/36D,['NAMIBIA QUESTION'],['NAMIBIA QUESTION'],[],all_match
17,278652,https://digitallibrary.un.org/record/278652,A/RES/38/36E,['NAMIBIA QUESTION'],['NAMIBIA QUESTION'],[],all_match
18,278653,https://digitallibrary.un.org/record/278653,A/RES/38/38,,[],[],no_subjects
19,278654,https://digitallibrary.un.org/record/278654,A/RES/38/39A,['APARTHEID'],['APARTHEID'],[],all_match
20,278655,https://digitallibrary.un.org/record/278655,A/RES/38/39B,['APARTHEID'],['APARTHEID'],[],all_match
21,278656,https://digitallibrary.un.org/record/278656,A/RES/38/39C,['APARTHEID'],['APARTHEID'],[],all_match
22,278657,https://digitallibrary.un.org/record/278657,A/RES/38/39D,['APARTHEID'],['APARTHEID'],[],all_match
23,278658,https://digitallibrary.un.org/record/278658,A/RES/38/39E,['APARTHEID'],['APARTHEID'],[],all_match
24,278659,https://digitallibrary.un.org/record/278659,A/RES/38/39F,['APARTHEID'],['APARTHEID'],[],all_match
25,278660,https://digitallibrary.un.org/record/278660,A/RES/38/39G,['APARTHEID'],['APARTHEID'],[],all_match
26,278661,https://digitallibrary.un.org/record/278661,A/RES/38/39I,['APARTHEID'],['APARTHEID'],[],all_match
27,278662,https://digitallibrary.un.org/record/278662,A/RES/38/39J,['APARTHEID'],['APARTHEID'],[],all_match
28,278663,https://digitallibrary.un.org/record/278663,A/RES/38/39K,['APARTHEID'],['APARTHEID'],[],all_match
29,278664,https://digitallibrary.un.org/record/278664,A/RES/38/49,"['NON-SELF-GOVERNING TERRITORIES', 'REPORTS']",['NON-SELF-GOVERNING TERRITORIES'],['REPORTS'],partial_match
30,278665,https://digitallibrary.un.org/record/278665,A/RES/38/50,"['DECOLONIZATION', 'FOREIGN INTERESTS']","['DECOLONIZATION', 'FOREIGN INTERESTS']",[],all_match
